timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:53:33.0,100.00 %,583.68 W,13.10 %,41.39 W,NVIDIA RTX A6000,3,8.34 W,0 %,0 %,1,4,28 °C,N/A,210 MHz,405 MHz,210 MHz
2025-03-29 17:53:38.0,100.00 %,426.64 W,13.10 %,32.48 W,NVIDIA RTX A6000,0,54.59 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:38.0,100.00 %,426.64 W,13.10 %,32.48 W,NVIDIA RTX A6000,1,34.15 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:38.0,100.00 %,426.64 W,13.10 %,32.48 W,NVIDIA RTX A6000,2,9.61 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:38.0,100.00 %,426.64 W,13.10 %,32.48 W,NVIDIA RTX A6000,3,8.85 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:43.0,100.00 %,574.08 W,13.10 %,40.56 W,NVIDIA RTX A6000,0,54.68 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:43.0,100.00 %,574.08 W,13.10 %,40.56 W,NVIDIA RTX A6000,1,33.99 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:43.0,100.00 %,574.08 W,13.10 %,40.56 W,NVIDIA RTX A6000,2,8.73 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:43.0,100.00 %,574.08 W,13.10 %,40.56 W,NVIDIA RTX A6000,3,8.81 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:48.0,100.00 %,408.71 W,13.10 %,32.59 W,NVIDIA RTX A6000,0,54.71 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:48.0,100.00 %,408.71 W,13.10 %,32.59 W,NVIDIA RTX A6000,1,34.15 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:48.0,100.00 %,408.71 W,13.10 %,32.59 W,NVIDIA RTX A6000,2,9.34 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:48.0,100.00 %,408.71 W,13.10 %,32.59 W,NVIDIA RTX A6000,3,8.68 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:53.0,100.00 %,505.86 W,13.10 %,40.04 W,NVIDIA RTX A6000,0,54.85 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:53.0,100.00 %,505.86 W,13.10 %,40.04 W,NVIDIA RTX A6000,1,34.02 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:53.0,100.00 %,505.86 W,13.10 %,40.04 W,NVIDIA RTX A6000,2,8.89 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:53.0,100.00 %,505.86 W,13.10 %,40.04 W,NVIDIA RTX A6000,3,8.83 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:58.0,100.00 %,430.49 W,13.10 %,37.53 W,NVIDIA RTX A6000,0,54.59 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
